competitionid,sessionid,gameid,endid,hammer_closest_dist,hammer_stones_in_house,hammer_house_control_diff,end_num,end_parity,powerplay,hammer_is_team1,hammer_is_team2,missing_shot3_snapshot,any_missing_coordinates,nonhammer_closest_dist,nonhammer_stones_in_house,hammer_team_scored,hammer_team_points,hammer_points_bucket,end_blank,steal,net_points_for_hammer
0,2,4,3,150.0,1,1,3,1,,0,1,0,0,316.45694809878955,0,0,0,0,0,1,-1
0,2,4,4,60.40695324215582,1,0,4,0,,1,0,0,0,180.01111076819674,1,0,0,0,0,1,-1
0,2,4,5,61.00819617067857,1,-1,5,1,,0,1,0,0,54.78138369920935,2,0,0,0,0,1,-1
0,2,4,6,589.7965751002629,0,-1,6,0,1.0,1,0,0,0,142.87407042567241,1,0,0,0,0,1,-2
0,2,4,7,143.26548781894402,1,1,7,1,,0,1,0,0,403.11288741492746,0,0,0,0,0,1,-2
0,2,4,8,67.20119046564577,1,0,8,0,,1,0,0,0,125.686116973992,1,1,1,1,0,0,1
0,3,1,1,46.61544808322666,2,0,1,1,,0,1,0,0,87.23531395025755,2,1,1,1,0,0,1
0,3,1,2,32.01562118716424,2,1,2,0,,1,0,0,0,160.85397104206038,1,1,3,3,0,0,3
0,3,1,3,17.4928556845359,2,0,3,1,,0,1,0,0,87.69264507357501,2,1,2,2,0,0,2
0,3,1,4,28.160255680657446,2,0,4,0,,1,0,0,0,76.55716818169282,2,1,1,1,0,0,1
0,3,1,5,197.0406049523803,1,-1,5,1,,0,1,0,0,13.416407864998739,2,0,0,0,0,1,-1
0,3,1,6,424.25110488954533,0,0,6,0,1.0,1,0,0,0,270.5346558206545,0,0,0,0,0,1,-3
0,3,1,7,286.3930865087354,0,0,7,1,,0,1,0,0,388.672098303956,0,0,0,0,0,1,-2
0,3,1,8,60.40695324215582,2,1,8,0,,1,0,0,0,36.05551275463989,1,0,0,0,0,1,-1
0,3,1,9,255.93163149560078,0,-1,9,1,,0,1,0,0,150.0,1,0,0,0,0,1,-1
0,3,2,1,38.58756276314948,2,0,1,1,,1,0,0,0,80.50465825031493,2,1,1,1,0,0,1
0,3,2,2,95.71311299921238,2,1,2,0,,0,1,0,0,77.02596964660685,1,1,1,1,0,0,1
0,3,2,3,36.124783736376884,1,0,3,1,,1,0,0,0,81.39410298049853,1,1,2,2,0,0,2
0,3,2,4,150.0,1,-1,4,0,,0,1,0,0,72.67048919609665,2,1,2,2,0,0,2
0,3,2,5,150.0,1,0,5,1,,1,0,0,0,91.93475947648963,1,1,3,3,0,0,3
0,3,2,6,337.9304662204934,0,-1,6,0,2.0,0,1,0,0,167.40967713964446,1,1,3,3,0,0,3
0,3,2,7,403.11288741492746,0,0,7,1,,1,0,0,0,304.2367499169027,0,0,0,0,0,1,-3
0,3,2,8,101.55294185792945,2,0,8,0,,0,1,0,0,15.524174696260024,2,1,2,2,0,0,2
0,4,1,1,69.00724599634447,2,0,1,1,,1,0,0,0,64.8459713474939,2,1,2,2,0,0,2
0,4,1,2,33.37663853655727,2,0,2,0,,0,1,0,0,75.50496672405067,2,1,4,3,0,0,4
0,4,1,3,177.01129907438113,1,-1,3,1,,1,0,0,0,88.19297024139736,2,1,1,1,0,0,1
0,4,1,4,150.0,2,1,4,0,,0,1,0,0,138.49548729110273,1,1,1,1,0,0,1
0,4,1,5,150.0,1,0,5,1,,1,0,0,0,71.84705978674423,1,1,2,2,0,0,2
0,4,1,6,93.94147114027967,2,0,6,0,,0,1,0,0,97.58073580374356,2,1,1,1,0,0,1
0,4,1,7,258.58847615468096,0,0,7,1,,1,0,0,0,337.4996296294264,0,1,1,1,0,0,1
0,4,1,8,403.11288741492746,0,0,8,0,2.0,0,1,0,0,558.0680962033217,0,1,1,1,0,0,1
0,4,2,1,105.07616285342742,2,1,1,1,,0,1,0,0,208.47062143141417,1,1,1,1,0,0,1
0,4,2,2,74.46475676452586,2,0,2,0,,1,0,0,0,91.44397191723465,2,1,3,3,0,0,3
0,4,2,3,181.04419349981927,2,1,3,1,,0,1,0,0,72.80109889280519,1,1,2,2,0,0,2
0,4,2,4,125.29964086141668,2,1,4,0,,1,0,0,0,76.16429609731846,1,1,3,3,0,0,3
0,4,2,5,150.0,1,0,5,1,,0,1,0,0,82.97590011563598,1,1,1,1,0,0,1
0,4,2,6,144.01388821915754,2,0,6,0,,1,0,0,0,102.61578825892242,2,1,1,1,0,0,1
0,4,2,7,357.1134273588715,0,0,7,1,,0,1,0,0,381.2951612596205,0,1,3,3,0,0,3
0,4,2,8,403.11288741492746,0,0,8,0,,1,0,0,0,948.7612976929445,0,1,1,1,0,0,1
0,4,3,1,317.58620876857987,0,-2,1,1,,0,1,0,0,38.41874542459709,2,1,1,1,0,0,1
0,4,3,2,150.0,1,0,2,0,,1,0,0,0,121.49897118905987,1,1,2,2,0,0,2
0,4,3,3,76.15773105863909,2,1,3,1,,0,1,0,0,152.7121475194426,1,1,2,2,0,0,2
0,4,3,4,200.0024999843752,1,0,4,0,,1,0,0,0,54.20332093147061,1,1,1,1,0,0,1
0,4,3,5,197.0913493789111,2,1,5,1,,0,1,0,0,228.87551201471948,1,0,0,0,0,1,-1
0,4,3,6,398.06155302917665,0,0,6,0,2.0,1,0,0,0,417.02997494184996,0,0,0,0,0,1,-1
0,4,3,7,317.2774810792597,0,0,7,1,,0,1,0,0,416.69173257937337,0,0,0,0,0,1,-2
0,4,3,8,69.46221994724903,2,0,8,0,,1,0,0,0,23.706539182259394,2,0,0,0,0,1,-3
0,4,4,1,150.0,1,0,1,1,,1,0,0,0,135.35878250043476,1,1,1,1,0,0,1
0,4,4,2,252.44603383693712,0,-1,2,0,,0,1,0,0,44.91102314577124,1,0,0,0,0,1,-3
0,4,4,3,162.2621335986927,2,0,3,1,,1,0,0,0,158.91192529196795,2,1,1,1,0,0,1
0,4,4,4,403.11288741492746,0,0,4,0,,0,1,0,0,311.7194251245822,0,1,1,1,0,0,1
0,4,4,5,150.0,2,2,5,1,,1,0,0,0,946.7359716415132,0,1,1,1,0,0,1
0,4,4,6,34.655446902326915,2,1,6,0,,0,1,0,0,74.16872656315464,1,1,1,1,0,0,1
0,4,4,7,96.08329719571451,2,1,7,1,,1,0,0,0,101.07917688624102,1,1,2,2,0,0,2
0,5,1,1,150.0,1,0,1,1,,1,0,0,0,45.617978911828175,1,1,1,1,0,0,1
0,5,1,2,73.43704787094863,2,0,2,0,,0,1,0,0,53.03772242470448,2,1,1,1,0,0,1
0,5,1,3,93.98404119849285,2,0,3,1,,1,0,0,0,47.50789408087881,2,1,1,1,0,0,1
0,5,1,4,51.62363799656123,1,-1,4,0,,0,1,0,0,50.93132631298737,2,0,0,0,0,1,-1
0,5,1,5,38.41874542459709,2,1,5,1,,1,0,0,0,220.00227271553356,1,1,1,1,0,0,1
0,5,1,6,406.5427406804849,0,0,6,0,,0,1,0,0,344.53011479404813,0,1,3,3,0,0,3
0,5,1,7,179.20100446147057,1,0,7,1,1.0,1,0,0,0,92.19544457292888,1,1,3,3,0,0,3
0,5,1,8,189.08463713374496,1,-1,8,0,,0,1,0,0,24.041630560342615,2,1,2,2,0,0,2
0,5,2,1,228.98034850178738,1,-1,1,1,,0,1,0,0,113.65298060323803,2,0,0,0,0,1,-3
0,5,2,2,77.1621668954417,2,1,2,0,,1,0,0,0,150.0,1,0,0,0,0,1,-1
0,5,2,3,80.02499609497022,2,1,3,1,,0,1,0,0,26.832815729997478,1,0,0,0,0,1,-1
0,5,2,4,80.72174428244226,2,0,4,0,,1,0,0,0,24.331050121192877,2,0,0,0,0,1,-1
0,5,2,5,177.09884245810304,2,0,5,1,,0,1,0,0,29.154759474226502,2,0,0,0,0,1,-2
0,5,2,6,116.36150566231085,1,1,6,0,,1,0,0,0,403.11288741492746,0,0,0,0,0,1,-2
0,5,2,7,72.56031973468694,2,0,7,1,,0,1,0,0,28.460498941515414,2,0,0,0,0,1,-1
0,5,2,8,67.00746227100382,2,1,8,0,,1,0,0,0,29.546573405388315,1,0,0,0,0,1,-1
0,5,3,1,210.00952359357422,2,1,1,1,,0,1,0,0,78.10889834071403,1,0,0,0,0,1,-3
0,5,3,2,72.91776189653656,1,-1,2,0,,1,0,0,0,64.38167441127949,2,0,0,0,0,1,-5
0,5,3,3,145.71547618561317,1,-1,3,1,,0,1,0,0,91.48223871331527,2,0,0,0,0,1,-2
0,5,3,4,44.10215414239989,2,1,4,0,,1,0,0,0,150.0,1,0,0,0,0,1,-1
0,5,3,5,1077.1007380927747,0,-2,5,1,,0,1,0,0,150.0,2,0,0,0,0,1,-2
0,5,3,6,347.6391807607422,0,0,6,0,2.0,1,0,0,0,453.583509400419,0,1,2,2,0,0,2
0,5,3,7,4.123105625617661,1,-1,7,1,,0,1,0,0,100.43903623591775,2,1,2,2,0,0,2
0,5,3,8,403.11288741492746,0,0,8,0,,1,0,0,0,519.7095342592822,0,1,2,2,0,0,2
0,6,1,1,150.0,2,1,1,1,,0,1,0,0,79.19595949289332,1,1,4,3,0,0,4
0,6,1,2,105.41821474489122,2,1,2,0,,1,0,0,0,48.27007354458868,1,0,0,0,0,1,-1
0,6,1,3,111.83022847155415,1,0,3,1,1.0,0,1,0,0,62.80127387243033,1,0,0,0,0,1,-1
0,6,1,4,106.60675400742676,1,-1,4,0,,1,0,0,0,66.21933252457322,2,0,0,0,0,1,-4
0,6,1,5,151.32745950421557,2,1,5,1,,0,1,0,0,87.23531395025755,1,1,1,1,0,0,1
0,6,1,6,27.018512172212592,2,0,6,0,,1,0,0,0,86.28441342444185,2,1,1,1,0,0,1
0,6,2,1,19.313207915827967,1,0,1,1,,1,0,0,0,96.42095207992918,1,1,1,1,0,0,1
0,6,2,2,11.704699910719626,1,-1,2,0,,0,1,0,0,100.17983829094555,2,1,2,2,0,0,2
0,6,2,3,55.17245689653489,2,0,3,1,,1,0,0,0,43.139309220245984,2,0,0,0,0,1,-2
0,6,2,4,80.05623023850174,2,1,4,0,,0,1,0,0,200.24235316236172,1,0,0,0,0,1,-2
0,6,2,5,80.8084154033477,1,-1,5,1,,1,0,0,0,79.64923100695951,2,0,0,0,0,1,-2
0,6,2,6,156.16017418023074,2,1,6,0,,0,1,0,0,62.20128616033595,1,0,0,0,0,1,-1
0,6,2,7,168.68906307167634,1,0,7,1,,1,0,0,0,150.0,1,0,0,0,0,1,-2
0,6,2,8,90.0222194794152,1,0,8,0,,0,1,0,0,38.897300677553446,1,0,0,0,0,1,-2
0,6,3,1,127.01181047445942,2,0,1,1,,1,0,0,0,188.88356201639147,2,1,2,2,0,0,2
0,6,3,2,276.5863337187866,0,-2,2,0,,0,1,0,0,81.21576201698781,2,0,0,0,0,1,-1
0,6,3,3,43.01162633521314,2,1,3,1,,1,0,0,0,183.61917111238685,1,0,0,0,0,1,-1
0,6,3,4,102.18121158021175,1,-1,4,0,,0,1,0,0,32.55764119219941,2,0,0,0,0,1,-3
0,6,3,5,252.46187831036985,0,-1,5,1,,1,0,0,0,172.20046457544765,1,0,0,0,0,1,-3
0,6,3,6,95.0789145920377,2,0,6,0,,0,1,0,0,182.04395073717774,2,1,2,2,0,0,2
0,6,3,7,343.1180554852805,0,0,7,1,1.0,1,0,0,0,409.3079525247463,0,1,2,2,0,0,2
0,6,3,8,69.3757882838098,1,0,8,0,,0,1,0,0,199.7248106770914,1,1,2,2,0,0,2
0,6,3,9,148.6371420607918,2,1,9,1,,1,0,0,0,101.23734488813898,1,1,1,1,0,0,1
0,6,4,1,190.04210059878838,1,0,1,1,,1,0,0,0,68.65857557508748,1,1,1,1,0,0,1
0,6,4,2,150.0,2,1,2,0,,0,1,0,0,234.64867355261143,1,1,1,1,0,0,1
0,6,4,3,63.12685640834652,2,1,3,1,,1,0,0,0,97.12363255150623,1,1,1,1,0,0,1
0,6,4,4,88.32326986700618,2,0,4,0,,0,1,0,0,61.18823416311342,2,1,1,1,0,0,1
0,6,4,5,150.0,1,0,5,1,,1,0,0,0,199.80990966416056,1,0,0,0,0,1,-2
0,6,4,6,223.14121089570165,1,1,6,0,1.0,0,1,0,0,298.31694554617576,0,0,0,0,0,1,-3
0,6,4,7,340.5201902971394,0,-1,7,1,,1,0,0,0,247.45504642257754,1,0,0,0,0,1,-3
0,6,4,8,179.96110690924303,1,-1,8,0,,0,1,0,0,80.09993757800315,2,0,0,0,0,1,-2
0,6,4,9,62.5859409132754,1,-1,9,1,,1,0,0,0,150.0,2,0,0,0,0,1,-1
0,7,1,1,150.0,2,2,1,1,,0,1,0,0,297.9546945426435,0,1,4,3,0,0,4
0,7,1,2,150.0,1,-1,2,0,,1,0,0,0,121.49897118905987,2,0,0,0,0,1,-2
0,7,1,3,243.55902775302746,1,1,3,1,,0,1,0,0,403.11288741492746,0,0,0,0,0,1,-1
0,7,1,4,77.83315488916018,2,0,4,0,,1,0,0,0,48.08326112068523,2,0,0,0,0,1,-1
0,7,1,5,87.5956619930462,2,1,5,1,,0,1,0,0,64.41273166075166,1,0,0,0,0,1,-3
0,7,1,6,416.0,0,0,6,0,1.0,1,0,0,0,403.11288741492746,0,0,0,0,0,1,-3
0,7,2,1,186.57438194993438,1,-1,1,1,,0,1,0,0,138.77319625922004,2,1,2,2,0,0,2
0,7,2,2,150.0,1,-1,2,0,,1,0,0,0,24.331050121192877,2,1,1,1,0,0,1
0,7,2,3,46.647615158762406,1,-1,3,1,,0,1,0,0,138.45215780189199,2,1,1,1,0,0,1
0,7,2,4,141.7956275771577,2,1,4,0,,1,0,0,0,31.89043743820395,1,0,0,0,0,1,-1
0,7,2,5,290.0844704564517,0,0,5,1,2.0,0,1,0,0,403.11288741492746,0,1,1,1,0,0,1
0,7,2,6,49.040799340956916,2,0,6,0,,1,0,0,0,71.21797525905943,2,0,0,0,0,1,-1
0,7,2,7,64.28063471995279,1,0,7,1,,0,1,0,0,164.01219466856725,1,1,9,3,0,1,0
0,8,1,1,121.49485585818027,2,0,1,1,,0,1,0,0,77.20103626247513,2,1,2,2,0,0,2
0,8,1,2,34.0147027033899,1,-1,2,0,,1,0,0,0,67.26812023536856,2,1,1,1,0,0,1
0,8,1,3,75.7429864739964,2,1,3,1,,0,1,0,0,134.72935834479432,1,1,1,1,0,0,1
0,8,1,4,150.0,2,1,4,0,,1,0,0,0,200.9601950635996,1,1,2,2,0,0,2
0,8,1,5,150.0,2,1,5,1,,0,1,0,0,120.16655108639841,1,1,3,3,0,0,3
0,8,1,6,348.78646762740095,0,-1,6,0,,1,0,0,0,200.8830505542964,1,1,2,2,0,0,2
0,8,1,7,403.11288741492746,0,0,7,1,1.0,0,1,0,0,379.8236432872498,0,1,1,1,0,0,1
0,8,1,8,240.52026941611388,1,-1,8,0,,1,0,0,0,28.30194339616981,2,1,9,3,0,0,0
0,8,2,1,219.31712199461307,1,0,1,1,,1,0,0,0,123.97580409095961,1,1,1,1,0,0,1
0,8,2,2,76.02631123499285,2,0,2,0,,0,1,0,0,92.35799911215054,2,1,2,2,0,0,2
0,8,2,3,150.0,2,0,3,1,,1,0,0,0,5.656854249492381,2,0,0,0,0,1,-3
0,8,2,4,1096.5856099730654,0,0,4,0,2.0,0,1,0,0,382.2054421381255,0,0,0,0,0,1,-1
0,8,2,5,64.1248781675256,1,0,5,1,,1,0,0,0,187.04277585621958,1,0,0,0,0,1,-1
0,8,2,6,77.00649323271382,2,1,6,0,,0,1,0,0,24.331050121192877,1,0,0,0,0,1,-1
0,8,2,7,200.66140635408692,1,1,7,1,,1,0,0,0,403.11288741492746,0,0,0,0,0,1,-2
0,8,3,1,37.12142238654117,1,-1,1,1,,0,1,0,0,149.64624953536256,2,0,0,0,0,1,-1
0,8,3,2,60.00833275470999,1,0,2,0,,1,0,0,0,154.00324671902212,1,1,1,1,0,0,1
0,8,3,3,161.24515496597098,2,0,3,1,,0,1,0,0,69.3757882838098,2,1,1,1,0,0,1
0,8,3,4,71.11258679024411,2,0,4,0,,1,0,0,0,208.54256160314134,2,1,3,3,0,0,3
0,8,3,5,330.2877533303347,0,0,5,1,1.0,0,1,0,0,340.3307215048327,0,1,1,1,0,0,1
0,8,3,6,150.0,1,0,6,0,,1,0,0,0,152.6106156202772,1,1,1,1,0,0,1
0,8,3,7,46.647615158762406,2,1,7,1,,0,1,0,0,119.50732195141852,1,1,9,3,0,1,0
0,8,4,1,150.0,2,1,1,1,,0,1,0,0,153.00326793895613,1,0,0,0,0,1,-1
0,8,4,2,28.653097563788805,1,-1,2,0,,1,0,0,0,150.0,2,0,0,0,0,1,-2
0,8,4,3,104.95713410721541,1,-1,3,1,,0,1,0,0,158.00316452527144,2,1,1,1,0,0,1
0,8,4,4,128.47178678604885,1,-1,4,0,,1,0,0,0,105.60303025955268,2,1,1,1,0,0,1
0,8,4,5,76.23647421018367,2,0,5,1,,0,1,0,0,80.75270893288967,2,1,1,1,0,0,1
0,8,4,6,403.11288741492746,0,0,6,0,,1,0,0,0,297.1077245714086,0,1,1,1,0,0,1
0,8,4,7,110.92339699089638,2,0,7,1,,0,1,0,0,97.65244492586962,2,1,3,3,0,0,3
0,8,4,8,200.30227157973022,2,1,8,0,,1,0,0,0,60.67124524847005,1,1,9,3,0,0,0
0,9,1,1,26.40075756488817,2,0,1,1,,0,1,0,0,70.178344238091,2,1,1,1,0,0,1
0,9,1,2,53.600373133029585,2,1,2,0,,1,0,0,0,52.392747589718944,1,1,1,1,0,0,1
0,9,1,3,115.43396380615195,2,1,3,1,,0,1,0,0,111.83022847155415,1,0,0,0,0,1,-1
0,9,1,4,89.35882720806042,2,0,4,0,,1,0,0,0,150.0,2,0,0,0,0,1,-2
0,9,1,5,160.25292509030842,1,-1,5,1,,0,1,0,0,150.0,2,1,1,1,0,0,1
0,9,1,6,368.9728987337688,0,0,6,0,,1,0,0,0,1096.5856099730654,0,1,2,2,0,0,2
0,9,1,7,408.648993636348,0,0,7,1,1.0,0,1,0,0,335.77373333838966,0,1,3,3,0,0,3
0,9,1,8,150.0,2,1,8,0,,1,0,0,0,17.72004514666935,1,1,1,1,0,0,1
0,9,2,1,13.038404810405298,2,0,1,1,,0,1,0,0,81.78630692236935,2,1,1,1,0,0,1
0,9,2,2,150.0,1,0,2,0,,1,0,0,0,193.06475597581243,1,1,2,2,0,0,2
0,9,2,3,64.13267497929586,2,0,3,1,,0,1,0,0,118.45674315968678,2,0,0,0,0,1,-1
0,9,2,4,34.655446902326915,2,0,4,0,,1,0,0,0,174.64249196572982,2,1,1,1,0,0,1
0,9,2,5,403.11288741492746,0,0,5,1,,0,1,0,0,427.95443682709964,0,1,2,2,0,0,2
0,9,2,6,297.73310195542587,0,0,6,0,2.0,1,0,0,0,265.994360842481,0,1,5,3,0,0,5
0,9,2,7,16.55294535724685,2,1,7,1,,0,1,0,0,131.3202193114221,1,1,3,3,0,0,3
0,9,2,8,94.17536832951598,2,0,8,0,,1,0,0,0,5.0990195135927845,2,1,9,3,0,0,0
0,9,3,1,35.84689665786984,2,0,1,1,,0,1,0,0,77.10382610480494,2,1,3,3,0,0,3
0,9,3,2,17.72004514666935,2,0,2,0,,1,0,0,0,84.581321815162,2,0,0,0,0,1,-1
0,9,3,3,101.07423014794622,1,-1,3,1,,0,1,0,0,72.00694410957877,2,1,3,3,0,0,3
0,9,3,4,403.11288741492746,0,0,4,0,,1,0,0,0,277.46170906991836,0,0,0,0,0,1,-2
0,9,3,5,80.0812087820857,2,0,5,1,,0,1,0,0,20.808652046684813,2,1,1,1,0,0,1
0,9,3,6,33.60059523282288,2,1,6,0,,1,0,0,0,122.0245876862528,1,1,3,3,0,0,3
0,9,3,7,424.6787020795839,0,0,7,1,2.0,0,1,0,0,314.65854509293086,0,1,1,1,0,0,1
0,9,4,1,66.48308055437865,2,1,1,1,,1,0,0,0,99.16148445843275,1,1,1,1,0,0,1
0,9,4,2,221.04524423746375,1,-1,2,0,,0,1,0,0,61.09828148156051,2,1,1,1,0,0,1
0,9,4,3,159.02201105507376,2,0,3,1,,1,0,0,0,25.632011235952593,2,1,1,1,0,0,1
0,9,4,4,167.0029939851379,1,0,4,0,,0,1,0,0,60.13318551349163,1,1,1,1,0,0,1
0,9,4,5,150.0,1,-1,5,1,,1,0,0,0,92.70382947861431,2,0,0,0,0,1,-1
0,9,4,6,315.15869018638847,0,0,6,0,,0,1,0,0,393.5606687665829,0,1,1,1,0,0,1
0,9,4,7,164.6572197020222,2,0,7,1,,1,0,0,0,84.59905436823747,2,0,0,0,0,1,-3
0,10,1,1,92.00543462209176,2,1,1,1,,0,1,0,0,66.48308055437865,1,0,0,0,0,1,-1
0,10,1,2,59.464274989274024,1,0,2,0,,1,0,0,0,150.0,1,0,0,0,0,1,-3
0,10,1,3,17.804493814764857,1,0,3,1,,0,1,0,0,150.0,1,0,0,0,0,1,-3
0,10,1,4,81.12336284942828,2,0,4,0,,1,0,0,0,156.66843970627906,2,0,0,0,0,1,-4
0,10,1,5,111.64676439557037,1,-1,5,1,,0,1,0,0,61.29437168288782,2,0,0,0,0,1,-3
